exchange,market_type,symbol_raw,leverage_max,price_usd,volume_24h_usd,open_interest_base,open_interest_usd,daily_snapshot
dydx,CROSS,ETC-USD,10,20.51620648,50948.62,5516.9,113185.859529512,2025-09-17
dydx,CROSS,ETH-USD,50,4509.10183,90900641.5042,14694.385,66258478.294224545,2025-09-17
dydx,CROSS,ETHFI-USD,5,1.492947178,168.81,19118.0,28542.164149004002,2025-09-17
dydx,ISOLATED,EUR-USD,20,1.185974389,0.0,5009.0,5940.5457145010005,2025-09-17
dydx,ISOLATED,EURC-USD,20,1.0356,0.0,0.0,0.0,2025-09-17
dydx,ISOLATED,"FARTCOIN,RAYDIUM,9BB6NFECJBCTNNLFKO2FQVQBQ8HHM13KCYYCDQBGPUMP-USD",20,0.8395197598,0.0,620.0,520.502251076,2025-09-17
dydx,CROSS,FET-USD,5,1.34838175,0.0,0.0,0.0,2025-09-17
dydx,CROSS,FIL-USD,10,2.546136568,260768.516,126355.0,321717.08604964,2025-09-17
dydx,CROSS,FLOKI-USD,5,9.79266982e-05,40092.43,603460000.0,59094.845295772,2025-09-17
dydx,ISOLATED,FLR-USD,20,0.0231160432,0.0,961500.0,22226.0755368,2025-09-17
dydx,ISOLATED,FORTH-USD,20,2.654534684,0.0,0.0,0.0,2025-09-17
dydx,ISOLATED,FOXY-USD,20,0.00472618214,0.0,0.0,0.0,2025-09-17
dydx,CROSS,FTM-USD,5,0.7723027697,0.0,0.0,0.0,2025-09-17
dydx,ISOLATED,G-USD,20,0.01125826394,0.0,2600.0,29.271486244000002,2025-09-17
dydx,ISOLATED,GALA-USD,20,0.01696546152,0.0,1003800.0,17029.930273776,2025-09-17
dydx,ISOLATED,GAS-USD,20,3.30640507,0.0,4340.0,14349.798003799999,2025-09-17
